,MOSES id,CONFORMER id,archive name,DFT TOTAL ENERGY,DFT XC ENERGY,DFT NUCLEAR REPULSION ENERGY,DFT ONE-ELECTRON ENERGY,DFT TWO-ELECTRON ENERGY,DFT DIPOLE X,DFT DIPOLE Y,DFT DIPOLE Z,DFT TOTAL DIPOLE,DFT ROT CONSTANT A,DFT ROT CONSTANT B,DFT ROT CONSTANT C,DFT HOMO,DFT LUMO,DFT HOMO-LUMO GAP,DFT ATOMIC ENERGY,DFT FORMATION ENERGY,SMILES,SPLITS
0,1,0,data/moses_wfns/archive_0_0_0.tar,-1300.896067209993,-102.37530699824585,1658.7134217827445,-5071.516025493504,2214.3117904218457,-1.8063368535650148,-3.755724054395689,1.719132385560424,4.508185018429948,0.0181570695583443,0.0046534585060202,0.004180177075846,-0.3111802635503251,0.0177756683634386,0.3289559319137636,-1294.5007110476954,-6.395356162297503,CC(C)(C)C(=O)C(Oc1ccc(Cl)cc1)n1ccnc1,train_full
1,1,1,data/moses_wfns/archive_0_0_0.tar,-1300.899901782923,-102.4292130865475,1680.7997858828776,-5115.35158436098,2236.111433230608,-0.6865217618723441,-3.9816071923712255,-1.768431564431555,4.410426074875808,0.0156781723628593,0.0055748615004957,0.0045422165090386,-0.3029815057464654,0.0186770101518869,0.3216585158983522,-1294.5007110476954,-6.3991907352276485,CC(C)(C)C(=O)C(Oc1ccc(Cl)cc1)n1ccnc1,train_full
2,1,2,data/moses_wfns/archive_0_0_0.tar,-1300.9040986355858,-102.41862572588872,1659.4417228479424,-5073.046880459759,2215.1492210798856,-2.391863508154794,-2.33364379066856,0.1577124305930147,3.345411423746269,0.0179537761034937,0.0047083319336834,0.0041670945448265,-0.3110983460343125,0.0180967002294111,0.3291950462637236,-1294.5007110476954,-6.403387587890393,CC(C)(C)C(=O)C(Oc1ccc(Cl)cc1)n1ccnc1,train_full
3,1,3,data/moses_wfns/archive_0_0_0.tar,-1300.89709370735,-102.4302025188407,1679.7901853996027,-5113.23880200377,2235.01204402863,0.7889395764177006,-3.194971183469051,-3.1444474422565345,4.551682791622175,0.0154181376998337,0.0056078811275003,0.0046127521615884,-0.3024438833629093,0.0199343975876794,0.3223782809505887,-1294.5007110476954,-6.396382659654591,CC(C)(C)C(=O)C(Oc1ccc(Cl)cc1)n1ccnc1,train_full
4,1,4,data/moses_wfns/archive_0_0_0.tar,-1300.900022387347,-102.40631808225037,1675.256566909101,-5104.235443491132,2230.51520078348,1.317856549848115,-3.884962252305263,-2.1073229644553253,4.611993892486756,0.0154230516988863,0.0056078844912184,0.0045264151132981,-0.3007085268990738,0.0104653909843948,0.3111739178834686,-1294.5007110476954,-6.399311339651604,CC(C)(C)C(=O)C(Oc1ccc(Cl)cc1)n1ccnc1,test_full_conformations
5,1,5,data/moses_wfns/archive_0_0_0.tar,-1300.8949810583897,-102.44980978692011,1685.2609073461138,-5124.555389403018,2240.8806307914774,-3.2118405240528367,0.1049019378077043,-0.6625103298932197,3.2811345455069403,0.0182409099366585,0.0050844183773087,0.0044905947829733,-0.3071534783075191,0.0195675491479603,0.3267210274554794,-1294.5007110476954,-6.394270010694299,CC(C)(C)C(=O)C(Oc1ccc(Cl)cc1)n1ccnc1,train_full
6,2,0,data/moses_wfns/archive_0_0_0.tar,-1364.634545271585,-110.46981382893917,1991.3345225823684,-5821.897825719483,2576.4412912529856,-1.6656262694807724,-3.9325126131692114,0.5098347208088775,4.301034499380543,0.0162217612621715,0.0037444291088063,0.0033085053334059,-0.3124382201715262,0.0077311948958141,0.3201694150673403,-1356.8900470512951,-7.74449822028987,CC1C2CCC(C2)C1CN(CCO)C(=O)c1ccc(Cl)cc1,train_full
7,2,1,data/moses_wfns/archive_0_0_0.tar,-1364.63523788271,-110.4642257244384,2012.273527090345,-5863.64985601081,2597.2496125730704,0.3237925147683941,-4.626936949026,-0.0300432024267594,4.638349891598748,0.0193949395010165,0.0036709043235203,0.0034494484784005,-0.3163160936974625,0.0057381402607934,0.3220542339582559,-1356.8900470512951,-7.745190831414902,CC1C2CCC(C2)C1CN(CCO)C(=O)c1ccc(Cl)cc1,train_full
8,2,2,data/moses_wfns/archive_0_0_0.tar,-1364.6330597796418,-110.4509875798955,2000.626198017596,-5840.2749468799175,2585.5102114762394,-4.255090417288846,-0.8105016394477526,1.7924348023766514,4.687806511325087,0.0118050330285725,0.0045876741664586,0.0035281215386657,-0.2981476367593214,0.0150396291055707,0.3131872658648921,-1356.8900470512951,-7.7430127283466845,CC1C2CCC(C2)C1CN(CCO)C(=O)c1ccc(Cl)cc1,train_full
9,2,3,data/moses_wfns/archive_0_0_0.tar,-1364.614755993685,-110.46468369494292,1980.033227380777,-5798.658132047047,2564.5181431678343,0.341087235269261,-2.764842962053653,-0.6259853717633783,2.855267902061553,0.0148518333009564,0.0037944217729448,0.0032985879067199,-0.3117664165754977,-0.000841868853637,0.3109245477218607,-1356.8900470512951,-7.724708942389952,CC1C2CCC(C2)C1CN(CCO)C(=O)c1ccc(Cl)cc1,train_full
